circleID,groupID,'name'
106,1,'Flipstorm'
136,2,'Oyondu'
114,3,'Roodel'
116,4,'Skilith'
118,5,'BlogXS'
130,6,'Leexo'
111,7,'Zoomzone'
112,8,'Flashpoint'
137,9,'Mynte'
146,10,'Livepath'
127,11,'Yodel'
132,12,'Geba'
110,13,'Tavu'
138,14,'Dabtype'
124,15,'Skajo'
145,16,'Feedmix'
147,18,'Feedfire'
123,19,'Livefish'
141,20,'Topicblab'
105,21,'Cogibox'
150,22,'Feedbug'
133,23,'Gigabox'
149,25,'Midel'
109,26,'Kwilith'
135,27,'Quire'
122,28,'Nlounge'
148,29,'Brainlounge'
144,31,'Yata'
139,32,'Zoomdog'
129,33,'Rhycero'
134,34,'Demimbu'
117,35,'Quatz'
140,36,'Linkbridge'
101,37,'Rhybox'
103,38,'Zooveo'
119,42,'Skinix'
107,43,'Dabtype'
102,47,'Buzzbean'
128,48,'Quire'
