circleID,friendListID,memberID,'firstAddDate'
1,1,1,'2005-04-06 7:29:01'
39,2,2,'2008-01-22 13:23:01'
64,3,3,'2013-07-01 15:48:01'
83,4,4,'2005-10-26 12:58:01'
39,5,5,'2004-09-07 1:31:01'
77,6,6,'2009-08-22 16:22:01'
49,7,7,'2013-10-31 21:03:01'
78,8,8,'2014-07-18 14:53:01'
63,9,9,'2015-01-24 19:41:01'
19,10,10,'2005-12-25 14:54:01'
82,11,11,'2004-12-13 8:36:01'
22,12,12,'2010-06-26 0:45:01'
27,13,13,'2012-02-01 5:03:01'
32,14,14,'2001-04-25 11:11:01'
69,15,15,'2013-03-27 22:35:01'
87,16,16,'2012-01-19 18:10:01'
99,17,17,'2009-03-31 0:20:01'
58,18,18,'2014-11-11 14:34:01'
88,19,19,'2003-01-15 7:22:01'
62,20,20,'2006-08-27 16:00:01'
49,21,21,'2007-11-15 3:07:01'
75,22,22,'2014-11-27 19:53:01'
57,23,23,'2011-06-24 3:07:01'
6,24,24,'2009-05-29 20:14:01'
24,25,25,'2014-01-30 13:10:01'
13,26,26,'2001-03-11 15:59:01'
98,27,27,'2012-02-12 12:34:01'
34,28,28,'2011-01-30 7:44:01'
95,29,29,'2009-12-20 11:05:01'
13,30,30,'2003-07-16 10:44:01'
20,31,31,'2006-05-29 5:43:01'
70,32,32,'2003-08-27 18:19:01'
53,33,33,'2003-03-19 1:57:01'
52,34,34,'2013-09-07 11:57:01'
31,35,35,'2006-11-23 3:05:01'
52,36,36,'2005-06-15 14:14:01'
66,37,37,'2003-09-04 0:38:01'
18,38,38,'2005-11-14 21:10:01'
10,39,39,'2003-08-19 4:16:01'
3,40,40,'2004-09-18 20:50:01'
70,41,41,'2013-01-17 18:45:01'
32,42,42,'2013-03-07 16:02:01'
50,43,43,'2013-06-28 13:20:01'
90,44,44,'2004-01-27 5:57:01'
27,45,45,'2007-05-04 22:28:01'
57,46,46,'2004-02-09 23:34:01'
20,47,47,'2008-11-02 0:17:01'
41,48,48,'2002-07-28 0:51:01'
66,49,49,'2006-06-08 9:13:01'
60,50,50,'2013-03-27 14:02:01'
42,51,51,'2002-05-03 3:40:01'
28,52,52,'2003-02-09 10:49:01'
9,53,53,'2001-07-20 22:31:01'
62,54,54,'2014-05-13 13:55:01'
22,55,55,'2004-03-25 17:09:01'
28,56,56,'2001-12-06 22:10:01'
92,57,57,'2011-10-15 9:27:01'
47,58,58,'2003-07-18 20:10:01'
29,59,59,'2008-09-16 14:46:01'
65,60,60,'2010-03-25 12:41:01'
31,61,61,'2014-11-16 21:30:01'
98,62,62,'2001-08-26 11:36:01'
65,63,63,'2011-07-18 11:55:01'
73,64,64,'2009-10-22 21:10:01'
3,65,65,'2010-02-11 0:58:01'
77,66,66,'2001-06-27 13:57:01'
57,67,67,'2004-11-27 9:12:01'
76,68,68,'2013-06-30 1:39:01'
8,69,69,'2012-08-29 5:47:01'
69,70,70,'2009-09-29 18:32:01'
20,71,71,'2010-08-12 8:24:01'
71,72,72,'2003-04-24 8:43:01'
57,73,73,'2001-06-01 1:07:01'
45,74,74,'2010-12-21 23:04:01'
24,75,75,'2011-11-23 13:48:01'
47,76,76,'2005-08-11 4:26:01'
72,77,77,'2013-01-23 11:11:01'
38,78,78,'2013-04-28 6:25:01'
91,79,79,'2008-11-13 0:40:01'
62,80,80,'2005-04-12 4:17:01'
13,81,81,'2008-11-23 6:58:01'
30,82,82,'2013-01-14 6:05:01'
14,83,83,'2004-05-18 22:47:01'
8,84,84,'2004-12-26 7:46:01'
90,85,85,'2015-02-20 12:04:01'
64,86,86,'2007-07-17 21:11:01'
62,87,87,'2004-10-10 0:06:01'
38,88,88,'2010-09-10 17:11:01'
27,89,89,'2004-05-03 17:48:01'
19,90,90,'2001-10-24 6:32:01'
17,91,91,'2010-09-08 14:54:01'
28,92,92,'2014-01-29 12:46:01'
29,93,93,'2005-08-09 6:41:01'
5,94,94,'2004-06-17 15:47:01'
79,95,95,'2004-12-31 19:43:01'
6,96,96,'2012-02-28 7:37:01'
89,97,97,'2003-04-21 7:17:01'
12,98,98,'2007-12-18 16:52:01'
2,99,99,'2005-02-05 4:41:01'
55,100,100,'2003-11-09 3:22:01'
